PHD SCHEDULE 8D TABLE 1 - PORTFOLIO HOLDINGS INFORMATION FOR INVESTMENT OPTION [AWAREACCHGINDX] - ASSETS - 2024-12-31,,,,,,,,,,,,,
ASSET CLASS,INTERNALLY MANAGED OR EXTERNALLY MANAGED,NAME OF INSTITUTION,NAME OF ISSUER / COUNTERPARTY,NAME OF FUND MANAGER,NAME / KIND OF INVESTMENT ITEM,CURRENCY,SECURITY IDENTIFIER,ADDRESS,% OWNERSHIP / PROPERTY HELD,UNITS HELD,VALUE(AUD),WEIGHTING(%),
LISTED EQUITY,-,-,-,-,JAMES HARDIE INDUSTRIES PLC,-,JHX AU,-,,"45,957","$2,301,057",0.31%,
LISTED EQUITY,-,-,-,-,INSURANCE AUSTRALIA GROUP LTD.,-,IAG AU,-,,"255,208","$2,159,063",0.29%,
LISTED EQUITY,-,-,-,-,JOHNSON & JOHNSON,-,JNJ US,-,,"9,064","$2,117,277",0.28%,
LISTED EQUITY,-,-,-,-,COCHLEAR LTD.,-,COH AU,-,,"6,981","$2,023,558",0.27%,
LISTED EQUITY,-,-,-,-,"SALESFORCE, INC.",-,CRM US,-,,"3,636","$1,963,503",0.26%,
LISTED EQUITY,-,-,-,-,COMPUTERSHARE LTD.,-,CPU AU,-,,"57,323","$1,946,117",0.26%,
LISTED EQUITY,-,-,-,-,"ABBVIE, INC.",-,ABBV US,-,,"6,653","$1,909,434",0.26%,
LISTED EQUITY,-,-,-,-,NORTHERN STAR RESOURCES LTD.,-,NST AU,-,,"122,380","$1,889,543",0.25%,
LISTED EQUITY,-,-,-,-,BANK OF AMERICA CORP.,-,BAC US,-,,"26,394","$1,873,518",0.25%,
LISTED EQUITY,-,-,-,-,ASML HOLDING NV,-,ASML NA,-,,"1,510","$1,714,071",0.23%,
LISTED EQUITY,-,-,-,-,NOVO NORDISK AS,-,NOVOB DC,-,,"12,129","$1,698,007",0.23%,
LISTED EQUITY,-,-,-,-,ORACLE CORP.,-,ORCL US,-,,"6,226","$1,675,796",0.22%,
LISTED EQUITY,-,-,-,-,SAP SE,-,SAP GR,-,,"3,923","$1,550,511",0.21%,
LISTED EQUITY,-,-,-,-,COCA-COLA CO.,-,KO US,-,,"15,330","$1,541,554",0.21%,
LISTED EQUITY,-,-,-,-,"MERCK & CO., INC.",-,MRK US,-,,"9,581","$1,539,434",0.21%,
LISTED EQUITY,-,-,-,-,PRO MEDICUS LTD.,-,PME AU,-,,"6,147","$1,537,434",0.21%,
LISTED EQUITY,-,-,-,-,WELLS FARGO & CO.,-,WFC US,-,,"13,034","$1,478,685",0.20%,
LISTED EQUITY,-,-,-,-,CAR GROUP LTD.,-,CAR AU,-,,"40,451","$1,457,467",0.20%,
LISTED EQUITY,-,-,-,-,"CISCO SYSTEMS, INC.",-,CSCO US,-,,"15,086","$1,442,456",0.19%,
LISTED EQUITY,-,-,-,-,ACCENTURE PLC,-,ACN US,-,,"2,364","$1,342,839",0.18%,
LISTED EQUITY,-,-,-,-,ASX LTD.,-,ASX AU,-,,"20,595","$1,340,332",0.18%,
LISTED EQUITY,-,-,-,-,REA GROUP LTD.,-,REA AU,-,,"5,713","$1,332,946",0.18%,
LISTED EQUITY,-,-,-,-,"SERVICENOW, INC.",-,NOW US,-,,774,"$1,325,724",0.18%,
LISTED EQUITY,-,-,-,-,NESTLE SA,-,NESN SW,-,,"9,904","$1,321,637",0.18%,
LISTED EQUITY,-,-,-,-,SONIC HEALTHCARE LTD.,-,SHL AU,-,,"48,472","$1,309,240",0.18%,
LISTED EQUITY,-,-,-,-,MCDONALD'S CORP.,-,MCD US,-,,"2,713","$1,269,947",0.17%,
LISTED EQUITY,-,-,-,-,"PEPSICO, INC.",-,PEP US,-,,"5,166","$1,268,778",0.17%,
LISTED EQUITY,-,-,-,-,TOYOTA MOTOR CORP.,-,7203 JP,-,,"38,596","$1,247,857",0.17%,
LISTED EQUITY,-,-,-,-,WALT DISNEY CO.,-,DIS US,-,,"6,899","$1,240,913",0.17%,
LISTED EQUITY,-,-,-,-,ASTRAZENECA PLC,-,AZN LN,-,,"5,840","$1,236,536",0.17%,
LISTED EQUITY,-,-,-,-,INTERNATIONAL BUSINESS MACHINES CORP.,-,IBM US,-,,"3,462","$1,229,359",0.16%,
LISTED EQUITY,-,-,-,-,LINDE PLC,-,LIN US,-,,"1,814","$1,226,849",0.16%,
LISTED EQUITY,-,-,-,-,"ADOBE, INC.",-,ADBE US,-,,"1,673","$1,201,724",0.16%,
LISTED EQUITY,-,-,-,-,ABBOTT LABORATORIES,-,ABT US,-,,"6,577","$1,201,452",0.16%,
LISTED EQUITY,-,-,-,-,ROCHE HOLDING AG,-,ROG SW,-,,"2,619","$1,192,603",0.16%,
LISTED EQUITY,-,-,-,-,"ADVANCED MICRO DEVICES, INC.",-,AMD US,-,,"6,103","$1,190,527",0.16%,
LISTED EQUITY,-,-,-,-,LOTTERY CORP. LTD.,-,TLC AU,-,,"240,507","$1,188,107",0.16%,
LISTED EQUITY,-,-,-,-,NOVARTIS AG,-,NOVN SW,-,,"7,436","$1,175,464",0.16%,
LISTED EQUITY,-,-,-,-,"THERMO FISHER SCIENTIFIC, INC.",-,TMO US,-,,"1,398","$1,174,877",0.16%,
LISTED EQUITY,-,-,-,-,"INTUITIVE SURGICAL, INC.",-,ISRG US,-,,"1,339","$1,128,765",0.15%,
LISTED EQUITY,-,-,-,-,"GOLDMAN SACHS GROUP, INC.",-,GS US,-,,"1,209","$1,118,111",0.15%,
LISTED EQUITY,-,-,-,-,MEDIBANK PVT LTD.,-,MPL AU,-,,"292,913","$1,110,139",0.15%,
LISTED EQUITY,-,-,-,-,GENERAL ELECTRIC CO.,-,GE US,-,,"4,114","$1,108,250",0.15%,
LISTED EQUITY,-,-,-,-,LVMH MOET HENNESSY LOUIS VUITTON SE,-,MC FP,-,,"1,023","$1,086,940",0.15%,
LISTED EQUITY,-,-,-,-,JB HI-FI LTD.,-,JBH AU,-,,"11,699","$1,084,286",0.15%,
LISTED EQUITY,-,-,-,-,HSBC HOLDINGS PLC,-,HSBA LN,-,,"68,015","$1,080,400",0.14%,
LISTED EQUITY,-,-,-,-,"INTUIT, INC.",-,INTU US,-,,"1,060","$1,075,907",0.14%,
LISTED EQUITY,-,-,-,-,"CATERPILLAR, INC.",-,CAT US,-,,"1,815","$1,063,911",0.14%,
LISTED EQUITY,-,-,-,-,"QUALCOMM, INC.",-,QCOM US,-,,"4,236","$1,051,057",0.14%,
LISTED EQUITY,-,-,-,-,"TEXAS INSTRUMENTS, INC.",-,TXN US,-,,"3,451","$1,045,330",0.14%,
LISTED EQUITY,-,-,-,-,AMERICAN EXPRESS CO.,-,AXP US,-,,"2,170","$1,040,308",0.14%,
LISTED EQUITY,-,-,-,-,NEXTDC LTD.,-,NXT AU,-,,"68,956","$1,039,169",0.14%,
LISTED EQUITY,-,-,-,-,EVOLUTION MINING LTD.,-,EVN AU,-,,"213,361","$1,026,266",0.14%,
LISTED EQUITY,-,-,-,-,"VERIZON COMMUNICATIONS, INC.",-,VZ US,-,,"15,845","$1,023,453",0.14%,
LISTED EQUITY,-,-,-,-,"BOOKING HOLDINGS, INC.",-,BKNG US,-,,126,"$1,014,749",0.14%,
LISTED EQUITY,-,-,-,-,ROYAL BANK OF CANADA,-,RY CN,-,,"5,205","$1,013,107",0.14%,
LISTED EQUITY,-,-,-,-,SGH LTD.,-,SGH AU,-,,"21,799","$1,005,174",0.13%,
LISTED EQUITY,-,-,-,-,"AT&T, INC.",-,T US,-,,"26,982","$992,332",0.13%,
LISTED EQUITY,-,-,-,-,"S&P GLOBAL, INC.",-,SPGI US,-,,"1,222","$983,245",0.13%,
LISTED EQUITY,-,-,-,-,TREASURY WINE ESTATES LTD.,-,TWE AU,-,,"86,684","$982,127",0.13%,
LISTED EQUITY,-,-,-,-,TECHNOLOGY ONE LTD.,-,TNE AU,-,,"31,062","$972,538",0.13%,
LISTED EQUITY,-,-,-,-,RTX CORP.,-,RTX US,-,,"5,068","$947,291",0.13%,
LISTED EQUITY,-,-,-,-,DANAHER CORP.,-,DHR US,-,,"2,519","$933,980",0.13%,
