PHD SCHEDULE 8D TABLE 1 - PORTFOLIO HOLDINGS INFORMATION FOR INVESTMENT OPTION [AWAREACCGROW] - ASSETS - 2024-12-31,,,,,,,,,,,,,
ASSET CLASS,INTERNALLY MANAGED OR EXTERNALLY MANAGED,NAME OF INSTITUTION,NAME OF ISSUER / COUNTERPARTY,NAME OF FUND MANAGER,NAME / KIND OF INVESTMENT ITEM,CURRENCY,SECURITY IDENTIFIER,ADDRESS,% OWNERSHIP / PROPERTY HELD,UNITS HELD,VALUE(AUD),WEIGHTING(%),
FIXED INCOME,EXTERNALLY,-,-,"STATE STREET GLOBAL ADVISORS, AUSTRALIA, LIMITED",-,-,-,-,,,"$1,990,859,872",8.14%,
FIXED INCOME,EXTERNALLY,-,-,"BAIN CAPITAL CREDIT, LP",-,-,-,-,,,"$650,021,655",2.66%,
FIXED INCOME,EXTERNALLY,-,-,CHALLENGER LIFE COMPANY LIMITED,-,-,-,-,,,"$217,422,769",0.89%,
FIXED INCOME,EXTERNALLY,-,-,PACIFIC INVESTMENT MANAGEMENT COMPANY LLC,-,-,-,-,,,"$65,622,280",0.27%,
FIXED INCOME,EXTERNALLY,-,-,BLACKROCK INVESTMENT MANAGEMENT (AUSTRALIA) LIMITED,-,-,-,-,,,"$59,921,118",0.25%,
FIXED INCOME,EXTERNALLY,-,-,WESTBOURNE CREDIT MANAGEMENT LTD,-,-,-,-,,,"$55,583,524",0.23%,
FIXED INCOME,EXTERNALLY,-,-,PAYDEN & RYGEL GLOBAL LIMITED,-,-,-,-,,,"$53,947,581",0.22%,
FIXED INCOME,EXTERNALLY,-,-,FLAG ASSET MANAGEMENT PTY LTD,-,-,-,-,,,"$45,845,520",0.19%,
FIXED INCOME,EXTERNALLY,-,-,ARES MANAGEMENT UK LIMITED,-,-,-,-,,,"$10,383,527",0.04%,
FIXED INCOME,EXTERNALLY,-,-,"OAKTREE CAPITAL MANAGEMENT, L.P.",-,-,-,-,,,"$1,530,306",0.01%,
FIXED INCOME,EXTERNALLY,-,-,INTERMEDIATE CAPITAL GROUP PLC,-,-,-,-,,,"$372,370",0.00%,
SUB TOTAL FIXED INCOME EXTERNALLY,,,,,,,,,,,"$3,151,510,522",12.89%,
LISTED EQUITY,-,-,-,-,BHP GROUP LTD.,-,BHP AU,-,,"9,485,202","$375,139,701",1.53%,
LISTED EQUITY,-,-,-,-,COMMONWEALTH BANK OF AUSTRALIA,-,CBA AU,-,,"2,271,124","$348,049,573",1.42%,
LISTED EQUITY,-,-,-,-,MICROSOFT CORP.,-,MSFT US,-,,"477,538","$325,094,330",1.33%,
LISTED EQUITY,-,-,-,-,"APPLE, INC.",-,AAPL US,-,,"765,416","$309,578,050",1.27%,
LISTED EQUITY,-,-,-,-,"AMAZON.COM, INC.",-,AMZN US,-,,"832,337","$294,930,605",1.21%,
LISTED EQUITY,-,-,-,-,CSL LTD.,-,CSL AU,-,,"926,245","$260,812,240",1.07%,
LISTED EQUITY,-,-,-,-,NVIDIA CORP.,-,NVDA US,-,,"1,163,862","$252,434,820",1.03%,
LISTED EQUITY,-,-,-,-,"META PLATFORMS, INC.",-,META US,-,,"193,424","$182,913,622",0.75%,
LISTED EQUITY,-,-,-,-,NATIONAL AUSTRALIA BANK LTD.,-,NAB AU,-,,"4,763,726","$176,734,226",0.72%,
LISTED EQUITY,-,-,-,-,WESTPAC BANKING CORP.,-,WBC AU,-,,"5,011,693","$161,977,897",0.66%,
LISTED EQUITY,-,-,-,-,MACQUARIE GROUP LTD.,-,MQG AU,-,,"729,830","$161,766,736",0.66%,
LISTED EQUITY,-,-,-,-,"ALPHABET, INC.",-,GOOG US,-,,"493,335","$151,741,176",0.62%,
LISTED EQUITY,-,-,-,-,ANZ GROUP HOLDINGS LTD.,-,ANZ AU,-,,"5,089,791","$145,262,635",0.59%,
LISTED EQUITY,-,-,-,-,"ALPHABET, INC.",-,GOOGL US,-,,"444,243","$135,823,406",0.56%,
LISTED EQUITY,-,-,-,-,"UNITEDHEALTH GROUP, INC.",-,UNH US,-,,"144,262","$117,865,625",0.48%,
LISTED EQUITY,-,-,-,-,TELSTRA GROUP LTD.,-,TLS AU,-,,"29,146,439","$116,877,217",0.48%,
LISTED EQUITY,-,-,-,-,"RESMED, INC.",-,RMD AU,-,,"3,089,233","$113,591,054",0.46%,
LISTED EQUITY,-,-,-,-,XERO LTD.,-,XRO AU,-,,"621,988","$104,842,524",0.43%,
LISTED EQUITY,-,-,-,-,TAIWAN SEMICONDUCTOR MANUFACTURING CO. LTD.,-,TSM US,-,,"307,451","$98,067,532",0.40%,
LISTED EQUITY,-,-,-,-,WISETECH GLOBAL LTD.,-,WTC AU,-,,"743,772","$90,041,043",0.37%,
LISTED EQUITY,-,-,-,-,WESFARMERS LTD.,-,WES AU,-,,"1,247,798","$89,255,008",0.37%,
LISTED EQUITY,-,-,-,-,WOODSIDE ENERGY GROUP LTD.,-,WDS AU,-,,"3,527,281","$86,771,141",0.35%,
LISTED EQUITY,-,-,-,-,"TESLA, INC.",-,TSLA US,-,,"132,925","$86,700,550",0.35%,
