PHD SCHEDULE 8D TABLE 1 - PORTFOLIO HOLDINGS INFORMATION FOR INVESTMENT OPTION [VSACCSOCCN] - ASSETS - 2024-12-31,,,,,,,,,,,,,
ASSET CLASS,INTERNALLY MANAGED OR EXTERNALLY MANAGED,NAME OF INSTITUTION,NAME OF ISSUER / COUNTERPARTY,NAME OF FUND MANAGER,NAME / KIND OF INVESTMENT ITEM,CURRENCY,SECURITY IDENTIFIER,ADDRESS,% OWNERSHIP / PROPERTY HELD,UNITS HELD,VALUE(AUD),WEIGHTING(%),
LISTED EQUITY,-,-,-,-,PRO MEDICUS LTD.,-,PME AU,-,,"31,568","$7,895,885",0.30%,
LISTED EQUITY,-,-,-,-,SANDFIRE RESOURCES LTD.,-,SFR AU,-,,"821,145","$7,620,229",0.29%,
LISTED EQUITY,-,-,-,-,"INTUITIVE SURGICAL, INC.",-,ISRG US,-,,"8,684","$7,321,371",0.28%,
LISTED EQUITY,-,-,-,-,ALCOA CORP.,-,AAI AU,-,,"122,621","$7,273,850",0.28%,
LISTED EQUITY,-,-,-,-,REA GROUP LTD.,-,REA AU,-,,"31,157","$7,269,137",0.28%,
LISTED EQUITY,-,-,-,-,"MASTERCARD, INC.",-,MA US,-,,"8,527","$7,251,758",0.28%,
LISTED EQUITY,-,-,-,-,QANTAS AIRWAYS LTD.,-,QAN AU,-,,"764,952","$6,861,620",0.26%,
LISTED EQUITY,-,-,-,-,TRANE TECHNOLOGIES PLC,-,TT US,-,,"11,254","$6,713,509",0.26%,
LISTED EQUITY,-,-,-,-,CHALLENGER LTD.,-,CGF AU,-,,"1,079,325","$6,486,744",0.25%,
LISTED EQUITY,-,-,-,-,ILUKA RESOURCES LTD.,-,ILU AU,-,,"1,284,235","$6,485,385",0.25%,
LISTED EQUITY,-,-,-,-,"CITIGROUP, INC.",-,C US,-,,"56,021","$6,368,884",0.24%,
LISTED EQUITY,-,-,-,-,CAPITAL ONE FINANCIAL CORP.,-,COF US,-,,"21,997","$6,335,353",0.24%,
LISTED EQUITY,-,-,-,-,BANK OF AMERICA CORP.,-,BAC US,-,,"89,012","$6,318,456",0.24%,
LISTED EQUITY,-,-,-,-,"TJX COS., INC.",-,TJX US,-,,"31,891","$6,222,658",0.24%,
